Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Open,High,Low,Close,Adj Close,Volume
1965-04-01,87.97,2.57,4.73,31.4,4.2,699.94,20.45,37.66,23.42,86.160004,89.639999,85.870003,89.110001,89.110001,119120000
1965-05-01,89.28,2.59,4.79,31.4,4.21,710.36,20.61,38.09,23.71,89.110001,90.68,87.239998,88.419998,88.419998,110190000
1965-06-01,85.04,2.61,4.84,31.6,4.21,672.34,20.64,38.27,22.39,88.419998,88.800003,80.730003,84.120003,84.120003,128160000
1965-07-01,84.91,2.63,4.89,31.6,4.2,671.31,20.77,38.63,22.3,84.120003,86.470001,83.300003,85.25,85.25,85150000
1965-08-01,86.49,2.64,4.93,31.6,4.25,683.81,20.9,39,22.67,85.25,87.790001,84.800003,87.169998,87.169998,109070000
1965-09-01,89.38,2.66,4.98,31.6,4.29,706.65,21.03,39.37,23.37,87.169998,91.129997,86.690002,89.959999,89.959999,155180000
1965-10-01,91.39,2.68,5.05,31.7,4.35,720.27,21.12,39.8,23.78,89.959999,93.190002,89.300003,92.419998,92.419998,164090000
1965-11-01,92.15,2.7,5.12,31.7,4.45,726.26,21.28,40.35,23.93,92.419998,93.300003,90.809998,91.610001,91.610001,147110000
1965-12-01,91.73,2.72,5.19,31.8,4.62,720.67,21.37,40.78,23.69,91.610001,93.07,89.199997,92.43,92.43,191050000
1966-01-01,93.32,2.74,5.24,31.8,4.61,733.17,21.53,41.17,24.06,92.43,94.639999,91.629997,92.879997,92.879997,182910000
1966-02-01,92.69,2.76,5.29,32,4.83,723.66,21.55,41.3,23.7,92.879997,94.720001,90.43,91.220001,91.220001,165790000
1966-03-01,88.88,2.78,5.34,32.1,4.87,691.76,21.64,41.56,22.61,91.220001,91.650002,86.690002,89.230003,89.230003,191360000
